"id_messpunkt";"int4";"date_part";"date_part"
36377;3;3;5
34143;3;3;5
34143;3;3;5
46357;0;3;5
46357;0;3;5
46357;4;3;5
46357;3;3;5
36377;1;3;5
36377;1;3;5
46357;0;3;5
46357;0;3;5
36377;2;3;5
36377;2;3;5
46357;2;3;6
46357;1;3;6
34143;2;3;6
34143;2;3;6
34143;1;3;6
34143;1;3;6
46357;0;3;6
46357;0;3;6
46357;2;3;6
46357;2;3;6
34143;3;3;6
34143;3;3;6
34143;1;3;6
34143;2;3;6
46357;0;3;6
46357;0;3;6
36377;2;3;6
36377;3;3;6
36377;3;3;6
36377;3;3;6
46357;2;3;6
46357;1;3;6
34143;3;3;6
34143;3;3;6
34143;2;3;6
34143;1;3;6
46357;1;3;6
46357;1;3;6
46357;5;3;6
46357;4;3;6
34143;2;3;6
34143;2;3;6
36377;3;3;6
36377;4;3;6
34143;1;3;6
34143;1;3;6
46357;0;3;6
46357;0;3;6
46357;-9;3;6
46357;-9;3;6
36377;4;3;6
36377;4;3;6
46357;5;3;7
46357;5;3;7
34143;3;3;7
34143;3;3;7
34143;3;3;7
34143;2;3;7
46357;2;3;7
46357;2;3;7
46357;5;3;7
46357;5;3;7
34143;3;3;7
34143;3;3;7
34143;2;3;7
34143;2;3;7
46357;0;3;7
46357;0;3;7
36377;3;3;7
36377;3;3;7
36377;3;3;7
36377;3;3;7
46357;7;3;7
46357;7;3;7
34143;3;3;7
34143;3;3;7
34143;1;3;7
34143;1;3;7
46357;1;3;7
46357;1;3;7
46357;6;3;7
46357;5;3;7
34143;2;3;7
34143;2;3;7
36377;3;3;7
36377;3;3;7
34143;1;3;7
34143;2;3;7
46357;2;3;7
46357;2;3;7
36377;3;3;7
36377;3;3;7
46357;3;3;8
46357;3;3;8
34143;3;3;8
34143;3;3;8
34143;2;3;8
34143;2;3;8
46357;0;3;8
46357;0;3;8
46357;5;3;8
46357;4;3;8
34143;1;3;8
34143;1;3;8
46357;-3;3;8
46357;-3;3;8
36377;3;3;8
36377;3;3;8
36377;2;3;8
36377;2;3;8
46357;3;3;8
46357;3;3;8
34143;2;3;8
34143;2;3;8
46357;1;3;8
