Filter;;;;;;;;;
Datum von:;06.03.2016;;;;;;;;
Datum bis:;06.03.2016;;;;;;;;
Stand:;07.03.2016 16:51:32;;;;;;;;
;;;;;;;;;
Zugnummer;Linie;Betriebstag;Ursachencode;Ursachen Bezeichnung;Ort;Ort Bezeichung;Uhrzeit;Verspätungsminuten;Verursacher Zugnr.
4873;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MH;München Hbf;8:15:00;2;
5407;RE12+;06.03.2016;93;Wende;MGP;Garmisch-Partenkirchen;8:15:00;13;
3202;IRE3+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TTU;Tuttlingen;8:16:00;4;50751
58107;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NHH;Herrnberchtheim;8:16:00;6;43986
22707;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MNHN;Nonnenhorn;8:17:00;2;
57101;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MP;München-Pasing;8:20:00;5;
6830;S8BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLEU;München Leuchtenbergring;8:21:00;2;
4205;IRE6+;06.03.2016;10;Fahrplanerstellung (Vertrieb);TF  R;Friedrichshafen Gbf;8:23:00;2;3055
4223;IRE6+;06.03.2016;59;Sonstige verkehrliche Gründe EVU;TP;Plochingen;8:24:00;7;4221
84545;;06.03.2016;59;Sonstige verkehrliche Gründe EVU;NLF;Lichtenfels;8:24:00;2;84545
57643;RE33+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MFNS;Neu-Ulm Finninger Straße;8:25:00;2;
6332;S3BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOP;München Ost Pbf;8:28:00;2;6732
57101;;06.03.2016;29;Sonstiges Technik Netz;MH;München Hbf;8:29:00;2;
57101;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MH;München Hbf;8:29:00;1;78815
4983;RE42-;06.03.2016;31;Bauarbeiten;UUS;Uhlstädt;8:30:00;2;
3403;RB44+;06.03.2016;51;Antrag EVU;NPZ;Pegnitz;8:31:00;7;3403
4221;IRE6+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;TLW;Laupheim West;8:31:00;3;
4598;RE60FR+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;FF;Frankfurt (Main) Hbf;8:34:00;2;4506
4602;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NHEI;Heigenbrücken;8:34:00;2;
5540;RB39A+;06.03.2016;95;Flügeln;MGP;Garmisch-Partenkirchen;8:34:00;6;
57762;RB33M+;06.03.2016;64;Triebfahrzeuge;MM;Memmingen;8:34:00;17;57762
57813;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MKFG;Kaufering;8:35:00;2;57504
5413;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MH;München Hbf;8:36:00;4;
8951;S1ABY-;06.03.2016;93;Wende;MFHT;München Flughafen Terminal;8:36:00;4;
84186;AG1-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NSUE;Sünching;8:37:00;2;
3283;SF7BY-;06.03.2016;57;Keine Meldung durch EVU;MKP;Kempten (Allgäu) Hbf;8:38:00;7;3283
57180;;06.03.2016;93;Wende;MH;München Hbf;8:38:00;2;57101
79409;MER1+;06.03.2016;50;Haltezeitüberschreitung;MRO;Rosenheim;8:38:00;2;79409
4801;RE40FR-;06.03.2016;51;Antrag EVU;NBA;Bamberg;8:39:00;3;4801
6234;S2BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLEU;München Leuchtenbergring;8:39:00;2;
57642;;06.03.2016;51;Antrag EVU;MKP;Kempten (Allgäu) Hbf;8:40:00;6;57642
